ID,Species,Lat,Lon,Elev,Aa_40,Aa_3,Am_40,Am_3,Na_40,Na_3,Nm_40,Nm_3,LMA_40,LMA_3,Biome,LifeForm,EvgDecid,C3C4,Reference
255,Abies amabilis,47.32,-121.58,1130,6.57615576088738,3.03692845427475,-9999,-9999,5.4031941987106,3.02432035087459,-9999,-9999,-9999,-9999,Temperate,Tree,Evergreen,C3,{Brooks 1996 #13159}
256,Abies amabilis,47.32,-121.58,1130,7.16256396046291,2.77839690147393,-9999,-9999,4.76780566182104,2.94163048585183,-9999,-9999,-9999,-9999,Temperate,Tree,Evergreen,C3,{Brooks 1996 #13159}
257,Abies amabilis,47.32,-121.58,1130,3.58361042419949,2.58651920387394,-9999,-9999,3.67801704598816,2.95922225876532,-9999,-9999,-9999,-9999,Temperate,Tree,Evergreen,C3,{Brooks 1996 #13159}
259,Scaphium macropodum,0.75,110.1,400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,109.197989606689,104.169981181214,Tropics,Tree,Evergreen,C3,{Yamada 1996 #13170}
260,Scaphium macropodum,0.75,110.1,400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Tropics,Tree,Evergreen,C3,{Yamada 1996 #13170}
261,Fagus sylvatica,52.51,13.33,38,-9999,-9999,111.520035708225,127.07037112657,1.28835185440154,0.907789612621227,2.14992171493086,2.14992062305572,65.1438553988706,40.2479074495592,Temperate,Tree,Deciduous,C3,{Forstreuter 1995 #13881}; {Forstreuter 1996 #13946} +Forstreuter 1995 unpublished data for photosynthesis
262,Fagus sylvatica,52.51,13.33,38,-9999,-9999,133.865788442911,117.938904027334,1.24681251068688,1.02137690074114,2.01327865775944,2.01327865043991,76.2177775873177,42.6787075103329,Temperate,Tree,Deciduous,C3,{Forstreuter 1995 #13881}; {Forstreuter 1996 #13946} +Forstreuter 1995 unpublished data for photosynthesis
263,Quercus ilex,43.7,3.78333333333333,180,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,166.513134125723,142.775262421303,Mediterranean,Tree,Evergreen,C3,{Eckardt 1975 #15081}
265,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,0.966956011179163,0.43117277206933,4.01914836423259,3.05401046693876,0.168332660556421,14.3071814051839,Boreal,Herb,,C3,{Anten 1998 #21020}
266,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,0.901338596119389,0.436952396134171,5.03864702575029,2.79383054247325,12.9999999999525,16.0636942373987,Boreal,Herb,,C3,{Anten 1998 #21020}
267,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,0.702727244376329,0.316841063811813,4.86714427547521,1.91408858215123,-9999,-9999,Boreal,Herb,,C3,{Anten 1998 #21020}
268,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,1.40695772175174,0.287653558828079,4.14024481358904,1.13544253022252,27.247828643058,17.6492141296092,Boreal,Herb,,C3,{Anten 1998 #21020}
269,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,1.06470443400968,0.350999541025268,3.75283046212782,1.44036047902618,26.0492453881965,20.6600510293269,Boreal,Herb,,C3,{Anten 1998 #21020}
270,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,0.948570947612003,0.28213851879019,3.52032941457606,1.2894965014787,26.4334887721427,21.0934412724674,Boreal,Herb,,C3,{Anten 1998 #21020}
272,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,1.29999997154778,1.20035930509889,204.291359357094,17.8363254357806,11.0000001998868,11.0138292990268,Boreal,Herb,,C3,{Anten 1998 #21020}
273,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,0.774228502490777,0.725359979717265,5.76894613134629,5.44329582546635,10.4443573656367,10.8429450976177,Boreal,Herb,,C3,{Anten 1998 #21020}
274,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,0.876115531492336,0.745736493733581,5.28118205728033,4.1385605901568,-9999,-9999,Boreal,Herb,,C3,{Anten 1998 #21020}
275,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,0.997321573053844,0.755714492761095,5.11887155227357,3.68260865099477,-9999,-9999,Boreal,Herb,,C3,{Anten 1998 #21020}
276,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,1.28880480748482,0.615736786345843,4.83039794130708,2.85923418662023,29.5980143959584,21.3845997291722,Boreal,Herb,,C3,{Anten 1998 #21020}
277,Xanthium canadense,38.5,140.95,52,-9999,-9999,-9999,-9999,1.38730239692834,0.521112943830592,4.4167400545567,2.40014307014071,29.8229127652127,21.2835898396552,Boreal,Herb,,C3,{Anten 1998 #21020}
278,Salix viminalis,58.25,26.75,49,-9999,-9999,-9999,-9999,3.04290852642777,1.66545532016657,4.1466712235275,2.40479022268689,64.116713110017,68.7285958538208,Temperate,Shrub,Deciduous,C3,{Kull 1998 #21023}
279,Salix dasyclados,58.25,26.75,49,-9999,-9999,-9999,-9999,2.4720118848862,2.17420349158299,4.25372342664313,2.85205859160695,65.7877368001573,78.4250135660871,Temperate,Shrub,Deciduous,C3,{Kull 1998 #21023}
280,Fagus japonica,36.9666666666667,140.6,700,-9999,-9999,-9999,-9999,2.3159975883839,1.34377888588728,2.36053686028982,2.95190470064675,97.9728699654746,45.8594427272235,Temperate,Tree,Deciduous,C3,{Kimura 1998 #23368}
281,Leersia hexandra,7.9,-67.4166666666667,49,20.0841789544208,5.81092796286477,-9999,-9999,1.32866482785543,0.614360514733126,-9999,-9999,-9999,-9999,Tropics,Grass,,C3,{Anten 1998 #23658}
282,Hymenachne amplexicaulis,7.9,-67.4166666666667,49,20.718111489467,-0.519298593023341,-9999,-9999,2.01361211330034,0.589311386243995,-9999,-9999,-9999,-9999,Tropics,Grass,,C3,{Anten 1998 #23658}
283,Paspalum fasciculatum,7.9,-67.4166666666667,49,31.2487897191612,6.97065636850694,-9999,-9999,1.11330691312804,0.663487369418754,-9999,-9999,-9999,-9999,Tropics,Grass,,C4,{Anten 1998 #23658}
284,Hyparrhenia rufa,8.93333333333333,-67.4166666666667,91,16.2564485654665,2.88053791172348,-9999,-9999,0.430979260664773,0.211312509115758,-9999,-9999,-9999,-9999,Tropics,Grass,,C4,{Anten 1998 #23658}
285,Hyparrhenia rufa,8.93333333333333,-67.4166666666667,91,18.0898760532113,2.05508683967361,-9999,-9999,0.486538439635466,0.224296972998265,-9999,-9999,-9999,-9999,Tropics,Grass,,C4,{Anten 1998 #23658}
286,Populus tremuloides,45.55,-84.7,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,94.2509137118927,29.3505307092273,Temperate,Tree,Deciduous,C3,{Jurik 1986 #1957}
287,Quercus rubra,45.55,-84.7,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.5174310978444,33.8752537082518,Temperate,Tree,Deciduous,C3,{Jurik 1986 #1957}
288,Populus grandidentata,45.55,-84.7,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.0616773044689,38.2732506918009,Temperate,Tree,Deciduous,C3,{Jurik 1986 #1957}
289,Acer rubrum,45.55,-84.7,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,76.0489290556571,28.1109501240745,Temperate,Tree,Deciduous,C3,{Jurik 1986 #1957}
290,Quercus rubra,45.55,-84.7,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,93.1801842207099,51.8440976493069,Temperate,Tree,Deciduous,C3,{Jurik 1986 #1957}
291,Populus grandidentata,45.55,-84.7,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,75.1575509322654,56.9911946999954,Temperate,Tree,Deciduous,C3,{Jurik 1986 #1957}
292,Acer rubrum,45.55,-84.7,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,76.0992113333512,44.2704886618305,Temperate,Tree,Deciduous,C3,{Jurik 1986 #1957}
293,Quercus rubra,45.55,-84.7,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91.999447923475,51.469033707184,Temperate,Tree,Deciduous,C3,{Jurik 1986 #1957}
294,Populus grandidentata,45.55,-84.7,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,70.5465936639527,60.8770766681793,Temperate,Tree,Deciduous,C3,{Jurik 1986 #1957}
295,Acer rubrum,45.55,-84.7,224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,87.4141377275,54.9286508892736,Temperate,Tree,Deciduous,C3,{Jurik 1986 #1957}
296,Picea abies,58.73,26.75,90,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,275.025339389399,159.053422307613,Temperate,Tree,Evergreen,C3,{Koppel 1984 #3912}
297,Picea abies,58.73,26.75,90,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,285.386632679307,137.436704028104,Temperate,Tree,Evergreen,C3,{Koppel 1984 #3912}
298,Picea abies,58.73,26.75,90,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,300.561706972995,189.857728670343,Temperate,Tree,Evergreen,C3,{Koppel 1984 #3912}
299,Picea abies,58.73,26.75,90,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,320.343041674689,190.955898174473,Temperate,Tree,Evergreen,C3,{Koppel 1984 #3912}
300,Picea abies,58.73,26.75,90,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,281.847877020339,158.627150555064,Temperate,Tree,Evergreen,C3,{Koppel 1984 #3912}
301,Picea abies,58.73,26.75,90,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,345.598771513166,154.710698745894,Temperate,Tree,Evergreen,C3,{Koppel 1984 #3912}
302,Solidago altissima,35.8333333333333,139.616666666667,5,19.1828350255984,4.9173135162599,309.365153215293,111.32469126782,2.33526009103113,1.02852116736801,3.50466809106703,1.98050342962128,60.9216431538944,48.7778372947704,Temperate,Herb,,C3,{Hirose 1987 #1608; Werger 1988 #2301; Hirose 1987 #16930}
303,Solidago altissima,35.8333333333333,139.616666666667,5,24.988262980936,-15.0388917101825,488.708420492525,-195.464115503058,2.52862800739667,0.321456262095216,4.56449339505677,0.165248530943553,51.8153939336174,88.3152465130608,Temperate,Herb,,C3,{Hirose 1987 #1608; Werger 1988 #2301; Hirose 1987 #16930}
304,Pinus contorta ssp. latifolia,41.35,-106.316666666667,2800,4.04118467173104,1.55890927471783,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Temperate,Tree,Evergreen,C3,{Schoettle 1999 #24005}
305,Pinus contorta ssp. latifolia,41.35,-106.316666666667,2800,4.32831200552254,1.90493254704618,-9999,-9999,2.52160172280369,2.43902244075355,-9999,-9999,-9999,-9999,Temperate,Tree,Evergreen,C3,{Schoettle 1999 #24005}
306,Pinus contorta ssp. latifolia,41.35,-106.316666666667,2800,4.0138905151441,1.188332912691,-9999,-9999,3.4802436316407,1.97683538882764,-9999,-9999,-9999,-9999,Temperate,Tree,Evergreen,C3,{Schoettle 1999 #24005}
307,Xanthium canadense,38.2166666666667,140.833333333333,34,25.1841917847927,4.98388049453758,-9999,-9999,1.25258153005299,0.488671800493183,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Hikosaka 1999 #24172}
308,Xanthium canadense,38.2166666666667,140.833333333333,34,26.6341701093227,2.44137778910133,-9999,-9999,1.58497886262615,0.334734756185917,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Hikosaka 1999 #24172}
310,Xanthium canadense,38.2166666666667,140.833333333333,34,-9999,-9999,-9999,-9999,0.715154195780544,0.44909190182712,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Hikosaka 1999 #24172}
311,Xanthium canadense,38.2166666666667,140.833333333333,34,-9999,-9999,-9999,-9999,1.29901751372692,0.185764827911336,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Hikosaka 1999 #24172}
313,Xanthium canadense,38.2166666666667,140.833333333333,34,-9999,-9999,-9999,-9999,2.62670168588602,0.975765146599122,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Hikosaka 1999 #24172}
314,Xanthium canadense,38.2166666666667,140.833333333333,34,-9999,-9999,-9999,-9999,0.680450651221314,0.646908628634161,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Hikosaka 1999 #24172}
315,Xanthium canadense,38.2166666666667,140.833333333333,34,-9999,-9999,-9999,-9999,0.767652288646999,0.519309165506042,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Hikosaka 1999 #24172}
316,Xanthium canadense,38.2166666666667,140.833333333333,34,-9999,-9999,-9999,-9999,1.39991701354322,0.389938293945386,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Hikosaka 1999 #24172}
317,Fagus crenata,35.3333333333333,138.683333333333,1100,9.7220334671071,4.39863297105028,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Temperate,Tree,Deciduous,C3,{Saito 1999 #24308}
318,Populus tremuloides,56,-99,258,12.555563913704,8.26359072171265,216.333682107041,216.333682107041,1.6281720753476,1.19118014530836,2.48559512968524,3.62176317899457,68.2080197236031,37.0993787368278,Temperate,Tree,Deciduous,C3,{Dang 1997 #24710}
319,Picea mariana,56,-99,258,4.73825584929414,2.19576772479559,18.4221850896984,17.2480768741478,1.66675928005323,1.05775241162927,0.745838583587921,0.678261715906488,239.38087373534,157.377114647517,Temperate,Tree,Evergreen,C3,{Dang 1997 #24710}
320,Pinus banksiana,56,-99,258,6.76127338762403,3.43437551165449,-9999,-9999,2.34715191315802,1.78439811699644,-9999,-9999,-9999,-9999,Temperate,Tree,Evergreen,C3,{Dang 1997 #24710}
321,Picea mariana,56,-99,258,4.80473585139364,3.28731300530526,21.1440615127278,21.6168672148241,1.56545877742928,1.12367872632281,0.675768655292604,0.735946112883301,235.774190902786,154.309270493922,Temperate,Tree,Evergreen,C3,{Dang 1997 #24710}
322,Pinus banksiana,56,-99,258,6.74052518884157,1.3985308699292,-9999,-9999,2.11922067212563,1.63704824439579,-9999,-9999,-9999,-9999,Temperate,Tree,Evergreen,C3,{Dang 1997 #24710}
323,Vicia faba var. minor,51.44,-0.943,67,13.7894183363733,9.39395586732903,389.670396101333,313.229635879334,2.17979331559198,1.60310960450841,6.23939105747764,5.22659380116587,37.9872944377612,29.3143543090659,Mediterranean,Herb,,C3,{Del Pozo 1999 #25439}
324,Vicia faba var. minor,51.44,-0.943,67,14.6016656285276,8.43513572699957,399.145779508116,300.611878205373,2.27296687415402,1.37236904611473,5.71288026387678,4.89511163722499,41.4294520764093,29.5602567795927,Mediterranean,Herb,,C3,{Del Pozo 1999 #25439}
325,Vicia faba var. minor,51.44,-0.943,67,-9999,-9999,-9999,-9999,3.10725538575308,1.64166284614681,-9999,-9999,-9999,-9999,Mediterranean,Herb,,C3,{Del Pozo 1999 #25439}
326,Vicia faba var. minor,51.44,-0.943,67,-9999,-9999,-9999,-9999,2.94022713851326,1.58891163182987,-9999,-9999,-9999,-9999,Mediterranean,Herb,,C3,{Del Pozo 1999 #25439}
327,Zea mays,48,2,126,-9999,-9999,-9999,-9999,1.45559668836267,1.02583256577469,-9999,-9999,-9999,-9999,Tropics,Grass,,C4,{Drouet 1999 #37480}
328,Zea mays,48,2,126,-9999,-9999,-9999,-9999,1.86642527646247,1.23612969060595,-9999,-9999,-9999,-9999,Tropics,Grass,,C4,{Drouet 1999 #37480}
329,Zea mays,48,2,126,-9999,-9999,-9999,-9999,1.761797908282,1.38536658398513,-9999,-9999,-9999,-9999,Tropics,Grass,,C4,{Drouet 1999 #37480}
330,Zea mays,48,2,126,-9999,-9999,-9999,-9999,1.67807982440939,1.10990967348794,-9999,-9999,-9999,-9999,Tropics,Grass,,C4,{Drouet 1999 #37480}
331,Zea mays,48,2,126,-9999,-9999,-9999,-9999,1.49288703095344,1.28559348806988,-9999,-9999,-9999,-9999,Tropics,Grass,,C4,{Drouet 1999 #37480}
332,Zea mays,48,2,126,-9999,-9999,-9999,-9999,1.67023450113386,1.58064092932574,-9999,-9999,-9999,-9999,Tropics,Grass,,C4,{Drouet 1999 #37480}
333,Pinus pinaster,44.7,-0.766666666666667,64,-9999,-9999,22.389365140039,39.3638955452854,7.21423008392607,2.58846956758545,1.45580242401119,1.01810276246465,505.152079937106,216.691885751327,Mediterranean,Tree,Evergreen,C3,{Porté 1998 #37481}
