ID,Species,Lat,Lon,Elev,Aa_40,Aa_3,Am_40,Am_3,Na_40,Na_3,Nm_40,Nm_3,LMA_40,LMA_3,Biome,LifeForm,EvgDecid,C3C4,Reference
354,Brassica oleracea,52.2,9.73,71,-9999,-9999,-9999,-9999,8.00603901144054,0.580167737981974,7.60926021122269,1.26113620524952,-9999,-9999,Temperate,Herb,,C3,{Alt 2000 #39838};{Alt 2000 #44378}
355,Brassica oleracea,52.2,9.73,71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Temperate,Herb,,C3,{Alt 2000 #39838};{Alt 2000 #44378}
356,Pinus sylvestris,61.85,24.2833333333333,163,18.8722490966917,10.0331489844779,116.803183753954,90.4280288718517,2.66099796591579,1.84046183029143,1.16437708508862,1.228161173878,222.81318745702,141.119499126332,Temperate,Tree,Evergreen,C3,{Palmroth 2001 #40303}
357,Lysimachia vulgaris,52.0833333333333,5.17916666666667,5,-9999,-9999,-9999,-9999,1.58292506101989,0.335638430247037,2.52632000283968,1.02364762893789,45.9757271539429,23.879718586167,Temperate,Herb,,C3,{Hirose 1988 #1538}
358,Lysimachia vulgaris,52.0833333333333,5.17916666666667,5,-9999,-9999,-9999,-9999,1.00782812361553,0.505624531900017,2.59608670628182,2.1870921683745,52.3270594409501,24.9087708004334,Temperate,Herb,,C3,{Hirose 1988 #1538}
359,Juglans nigra,45.78,3.14,335,-9999,-9999,248.302594409495,291.966935202679,1.51489611544739,0.882381636655653,2.31091583172245,2.56617213336777,66.5746034186005,35.2081837662834,Temperate,Tree,Deciduous,C3,{Frak 2002 #41259}
361,Xanthium canadense,38.2166666666667,140.833333333333,34,-9999,-9999,-9999,-9999,1.39172785472698,0.590844452959269,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Anten 2001 #41502}
362,Xanthium canadense,38.2166666666667,140.833333333333,34,20.8497594485551,2.98468994457703,-9999,-9999,1.15090557577415,0.558709965270836,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Anten 2001 #41502}
363,Xanthium canadense,38.2166666666667,140.833333333333,34,-9999,-9999,-9999,-9999,1.38067038147788,0.542968619756314,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Anten 2001 #41502}
364,Xanthium canadense,38.2166666666667,140.833333333333,34,18.903451279135,-0.965118945815978,-9999,-9999,1.75757098142965,0.370157244974077,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Anten 2001 #41502}
365,Xanthium canadense,38.2166666666667,140.833333333333,34,21.0987973500608,-0.723793827947061,-9999,-9999,2.30647519377518,0.244076233821556,-9999,-9999,-9999,-9999,Boreal,Herb,,C3,{Anten 2001 #41502}
