ID,Species,Lat,Lon,Elev,Aa_40,Aa_3,Am_40,Am_3,Na_40,Na_3,Nm_40,Nm_3,LMA_40,LMA_3,Biome,LifeForm,EvgDecid,C3C4,Reference
2,Fagus sylvatica,49.98333333,11.78333333,760,-9999,-9999,-9999,-9999,0.954398858,0.610502439,1.989314205,2.546920526,51.49749513,23.40830199,Temperate,Tree,Deciduous,C3,(Niinemets 1995)
3,Fagus sylvatica,49.98333333,11.78333333,760,-9999,-9999,-9999,-9999,1.575701598,0.678650172,2.25198882,2.348191411,69.51033419,28.76686933,Temperate,Tree,Deciduous,C3,(Niinemets 1995)
